cycle,bases,mean_phred,q20_percent,q30_percent
1,24,38.000000,100.000000,100.000000
2,24,38.000000,100.000000,100.000000
3,24,37.958333,100.000000,100.000000
4,24,38.000000,100.000000,100.000000
5,24,37.875000,100.000000,100.000000
6,24,37.875000,100.000000,100.000000
7,24,38.000000,100.000000,100.000000
8,24,38.000000,100.000000,100.000000
9,24,38.000000,100.000000,100.000000
10,24,38.000000,100.000000,100.000000
11,24,38.000000,100.000000,100.000000
12,24,38.000000,100.000000,100.000000
13,24,37.958333,100.000000,100.000000
14,24,37.708333,100.000000,100.000000
15,24,37.875000,100.000000,100.000000
16,24,37.541667,100.000000,100.000000
17,24,37.875000,100.000000,100.000000
18,24,37.875000,100.000000,100.000000
19,24,37.916667,100.000000,100.000000
20,24,37.833333,100.000000,100.000000
21,24,36.583333,100.000000,91.666667
22,24,37.875000,100.000000,100.000000
23,24,37.791667,100.000000,100.000000
24,24,37.791667,100.000000,100.000000
25,24,37.916667,100.000000,100.000000
26,24,37.583333,100.000000,100.000000
27,24,37.916667,100.000000,100.000000
28,24,37.958333,100.000000,100.000000
29,24,37.916667,100.000000,100.000000
30,24,36.500000,100.000000,95.833333
31,24,37.458333,100.000000,100.000000
32,24,37.791667,100.000000,100.000000
33,24,38.000000,100.000000,100.000000
34,24,37.875000,100.000000,100.000000
35,24,37.916667,100.000000,100.000000
36,24,37.916667,100.000000,100.000000
37,24,37.291667,100.000000,95.833333
38,24,37.833333,100.000000,100.000000
39,24,37.958333,100.000000,100.000000
40,24,37.958333,100.000000,100.000000
41,24,37.958333,100.000000,100.000000
42,24,38.000000,100.000000,100.000000
43,24,38.000000,100.000000,100.000000
44,24,38.000000,100.000000,100.000000
45,24,37.708333,100.000000,100.000000
46,24,37.916667,100.000000,100.000000
47,24,37.916667,100.000000,100.000000
48,24,37.916667,100.000000,100.000000
49,24,37.958333,100.000000,100.000000
50,24,37.958333,100.000000,100.000000
51,24,38.000000,100.000000,100.000000
52,24,37.791667,100.000000,100.000000
53,24,38.000000,100.000000,100.000000
54,24,37.958333,100.000000,100.000000
55,24,37.333333,100.000000,100.000000
56,24,37.916667,100.000000,100.000000
57,24,37.750000,100.000000,100.000000
58,24,37.958333,100.000000,100.000000
59,24,37.958333,100.000000,100.000000
60,24,37.875000,100.000000,100.000000
61,24,37.958333,100.000000,100.000000
62,24,37.958333,100.000000,100.000000
63,24,37.458333,100.000000,95.833333
64,24,37.958333,100.000000,100.000000
65,24,38.000000,100.000000,100.000000
66,24,37.916667,100.000000,100.000000
67,24,36.958333,100.000000,100.000000
68,24,37.750000,100.000000,100.000000
69,24,37.958333,100.000000,100.000000
70,24,38.000000,100.000000,100.000000
71,24,37.958333,100.000000,100.000000
72,24,38.000000,100.000000,100.000000
73,24,37.958333,100.000000,100.000000
74,24,38.000000,100.000000,100.000000
75,24,38.000000,100.000000,100.000000
76,24,38.000000,100.000000,100.000000
77,24,38.000000,100.000000,100.000000
78,24,37.875000,100.000000,100.000000
79,24,37.875000,100.000000,100.000000
80,24,38.000000,100.000000,100.000000
81,24,38.000000,100.000000,100.000000
82,24,37.583333,100.000000,100.000000
83,24,37.750000,100.000000,100.000000
84,24,37.958333,100.000000,100.000000
85,24,37.666667,100.000000,100.000000
86,24,38.000000,100.000000,100.000000
87,24,38.000000,100.000000,100.000000
88,24,37.958333,100.000000,100.000000
89,24,38.000000,100.000000,100.000000
90,24,37.958333,100.000000,100.000000
91,24,37.958333,100.000000,100.000000
92,24,37.958333,100.000000,100.000000
93,24,37.833333,100.000000,100.000000
94,24,37.666667,100.000000,100.000000
95,24,37.625000,100.000000,100.000000
96,24,37.458333,100.000000,100.000000
97,24,37.916667,100.000000,100.000000
98,24,37.916667,100.000000,100.000000
99,24,37.708333,100.000000,100.000000
100,24,37.666667,100.000000,100.000000
101,24,37.875000,100.000000,100.000000
102,24,37.958333,100.000000,100.000000
103,24,37.958333,100.000000,100.000000
104,24,37.666667,100.000000,100.000000
105,24,37.708333,100.000000,100.000000
106,24,37.875000,100.000000,100.000000
107,24,37.833333,100.000000,100.000000
108,24,37.833333,100.000000,100.000000
109,24,37.833333,100.000000,100.000000
110,24,37.958333,100.000000,100.000000
111,24,37.791667,100.000000,100.000000
112,24,37.916667,100.000000,100.000000
113,24,37.875000,100.000000,100.000000
114,24,37.666667,100.000000,100.000000
115,24,37.750000,100.000000,100.000000
116,24,37.958333,100.000000,100.000000
117,24,37.833333,100.000000,100.000000
118,24,37.916667,100.000000,100.000000
119,24,37.875000,100.000000,100.000000
120,24,37.958333,100.000000,100.000000
121,24,37.958333,100.000000,100.000000
122,24,37.916667,100.000000,100.000000
123,24,38.000000,100.000000,100.000000
124,24,37.958333,100.000000,100.000000
125,24,38.000000,100.000000,100.000000
126,24,37.958333,100.000000,100.000000
127,24,37.625000,100.000000,100.000000
128,24,37.833333,100.000000,100.000000
129,24,37.875000,100.000000,100.000000
130,24,37.916667,100.000000,100.000000
131,24,37.541667,100.000000,95.833333
132,24,37.875000,100.000000,100.000000
133,24,37.666667,100.000000,100.000000
134,24,37.541667,100.000000,100.000000
135,24,37.750000,100.000000,100.000000
136,24,37.833333,100.000000,100.000000
137,24,37.000000,100.000000,95.833333
138,24,37.375000,100.000000,100.000000
139,24,37.541667,100.000000,100.000000
140,24,37.625000,100.000000,100.000000
141,24,37.625000,100.000000,100.000000
142,24,36.583333,95.833333,95.833333
143,24,36.958333,100.000000,95.833333
144,24,37.541667,100.000000,100.000000
145,24,37.041667,100.000000,95.833333
146,24,37.583333,100.000000,100.000000
147,24,37.375000,100.000000,100.000000
148,24,37.750000,100.000000,100.000000
149,24,36.666667,95.833333,95.833333
150,24,37.541667,100.000000,100.000000
151,24,37.875000,100.000000,100.000000
152,24,37.791667,100.000000,100.000000
153,24,37.750000,100.000000,100.000000
154,24,37.833333,100.000000,100.000000
155,24,37.625000,100.000000,100.000000
156,24,37.083333,100.000000,95.833333
157,24,37.625000,100.000000,100.000000
158,24,37.833333,100.000000,100.000000
159,24,37.208333,100.000000,95.833333
160,24,37.250000,100.000000,100.000000
161,24,37.750000,100.000000,100.000000
162,24,37.750000,100.000000,100.000000
163,24,37.291667,100.000000,95.833333
164,24,37.750000,100.000000,100.000000
165,24,37.833333,100.000000,100.000000
166,24,37.833333,100.000000,100.000000
167,24,37.916667,100.000000,100.000000
168,24,37.125000,100.000000,100.000000
169,24,37.625000,100.000000,100.000000
170,24,37.416667,100.000000,100.000000
171,24,36.750000,100.000000,95.833333
172,24,37.000000,100.000000,95.833333
173,24,37.375000,100.000000,100.000000
174,24,37.500000,100.000000,100.000000
175,24,37.625000,100.000000,100.000000
176,24,37.750000,100.000000,100.000000
177,24,37.958333,100.000000,100.000000
178,24,37.958333,100.000000,100.000000
179,24,37.750000,100.000000,100.000000
180,24,37.666667,100.000000,100.000000
181,24,37.458333,100.000000,100.000000
182,24,36.333333,100.000000,95.833333
183,24,37.166667,100.000000,100.000000
184,24,37.000000,100.000000,95.833333
185,24,37.791667,100.000000,100.000000
186,24,37.875000,100.000000,100.000000
187,24,37.708333,100.000000,100.000000
188,24,37.666667,100.000000,100.000000
189,24,36.916667,100.000000,100.000000
190,24,37.541667,100.000000,100.000000
191,24,37.583333,100.000000,100.000000
192,24,37.958333,100.000000,100.000000
193,24,37.875000,100.000000,100.000000
194,24,37.708333,100.000000,100.000000
195,24,37.291667,100.000000,100.000000
196,24,37.083333,100.000000,95.833333
197,24,36.166667,100.000000,100.000000
198,24,37.041667,100.000000,100.000000
199,24,36.250000,100.000000,100.000000
200,24,36.833333,100.000000,100.000000
201,24,39.291667,100.000000,100.000000
202,24,39.791667,100.000000,100.000000
203,24,39.541667,100.000000,100.000000
204,24,39.708333,100.000000,100.000000
205,24,39.333333,100.000000,100.000000
206,24,39.833333,100.000000,100.000000
207,24,39.041667,100.000000,100.000000
208,24,39.791667,100.000000,100.000000
209,24,39.500000,100.000000,100.000000
210,24,40.000000,100.000000,100.000000
211,24,39.750000,100.000000,100.000000
212,24,39.375000,100.000000,100.000000
213,24,39.833333,100.000000,100.000000
214,24,39.500000,100.000000,100.000000
215,24,38.041667,100.000000,91.666667
216,24,39.333333,100.000000,95.833333
217,24,39.166667,100.000000,100.000000
218,24,39.416667,100.000000,100.000000
219,24,38.333333,100.000000,91.666667
220,24,39.625000,100.000000,100.000000
221,24,39.333333,100.000000,100.000000
222,24,39.125000,100.000000,95.833333
