dataset_id,dataset_version_id,title,disease,spots,features,mean_genes_per_spot,cell_type_labels,spatial_embedding,full_resolution_image
ee141ea4-6678-4908-9c2f-db71d92e74ce,4936568b-7d72-4916-a1b2-0dcd3a7273bb,GSM6592053_M6,triple-negative breast carcinoma,4992,35477,1775.067107371795,B cell; epithelial cell; fibroblast; malignant cell; myeloid cell; unknown,True,False
e5c614b8-b918-43b8-a542-670433e4da18,2378db2e-a807-4b99-9cba-6a5c22d95862,GSM6592050_M3,triple-negative breast carcinoma,4992,35477,1888.045673076923,B cell; endothelial cell; epithelial cell; fibroblast; malignant cell; myeloid cell; perivascular cell; unknown,True,False
dd1913a6-019d-4009-a118-6a3d158b22e6,631b8e61-c787-44a3-ba58-e3ba7c24f0d9,GSM6592058_M11,triple-negative breast carcinoma,4992,35477,1280.8463541666667,B cell; T cell; endothelial cell; epithelial cell; fibroblast; malignant cell; myeloid cell; perivascular cell; unknown,True,False
c829c294-0995-4f0b-8c00-3d6ddab29b37,a13daadb-c385-4601-98f2-50f3e1d76be7,GSM6592061_M15,triple-negative breast carcinoma,4992,35477,4132.877403846154,B cell; T cell; epithelial cell; malignant cell; myeloid cell; unknown,True,False
b9b592d4-a0cc-4694-8704-a6625829ef1f,11a8f3cd-434a-44d2-9ded-d51deb5fc3a9,GSM6592048_M1,normal,4992,35477,511.6832932692308,B cell; endothelial cell; epithelial cell; fibroblast; myeloid cell; perivascular cell; unknown,True,False
b0d9408e-f02f-4ee4-9ab4-98d92cf290f1,8161db97-75ff-4a60-a360-e73b4da28555,GSM6592049_M2,triple-negative breast carcinoma,4992,35477,1432.6245993589744,B cell; T cell; endothelial cell; epithelial cell; fibroblast; malignant cell; myeloid cell; perivascular cell; unknown,True,False
9adb1b29-65a2-4dd0-86bf-c02690d65fbd,5a1417ad-4861-442e-abf3-2d868c338559,GSM6592062_M16,triple-negative breast carcinoma,4992,35477,3138.8185096153848,epithelial cell; fibroblast; malignant cell; unknown,True,False
60d5175f-f477-48b2-8396-ad76be2c3310,21c83c31-021e-46f5-821a-da1f5c47ffee,GSM6592057_M10,normal,4992,35477,226.1622596153846,B cell; endothelial cell; epithelial cell; fibroblast; myeloid cell; perivascular cell; unknown,True,False
5f76916e-8547-49a3-9022-716ec0557ea2,f3067288-e1f7-493d-ad99-4a360f217c01,GSM6592054_M7,normal,4992,35477,673.2566105769231,B cell; endothelial cell; epithelial cell; fibroblast; myeloid cell; perivascular cell; unknown,True,False
5d2c013d-0221-401b-9a30-ecfd880f07a3,baa77986-95c7-4bf7-b4a4-09b23bcd16e4,GSM6592052_M5,triple-negative breast carcinoma,4992,35477,1209.6993189102564,B cell; T cell; endothelial cell; epithelial cell; fibroblast; malignant cell; myeloid cell; perivascular cell; unknown,True,False
540e4c1a-4cba-4617-8d0b-583327b6afd0,e70e6ab2-81c9-4860-8959-2ce807ccfb01,GSM6592060_M14,triple-negative breast carcinoma,4992,35477,1790.3713942307693,T cell; endothelial cell; fibroblast; malignant cell; myeloid cell; unknown,True,False
4db76400-e867-4fd5-9f49-fdc489b38269,6fe9cbe8-71b3-4b34-b4a2-7daf4b1ce8e4,GSM6592056_M9,normal,4992,35477,414.26883012820514,B cell; endothelial cell; epithelial cell; fibroblast; myeloid cell; perivascular cell; unknown,True,False
480f9371-0e43-4724-a9b6-377b33789a42,7f70b1b7-8d8c-4a93-90fe-b7ec5daa5b26,GSM6592051_M4,triple-negative breast carcinoma,4992,35477,1769.274639423077,T cell; epithelial cell; malignant cell; myeloid cell; unknown,True,False
2cc628d1-b1dd-4300-9cf6-1015e2b1fd3d,36a207de-c1a2-474e-89f0-40117ef9b2e7,GSM6592055_M8,triple-negative breast carcinoma,4992,35477,855.2169471153846,B cell; endothelial cell; epithelial cell; fibroblast; malignant cell; myeloid cell; perivascular cell; unknown,True,False
10bb68cf-e20b-4c45-a65f-2d7d8129048e,e963ad5f-a05a-48c1-9c31-c9b3da73e00a,GSM6592059_M13,triple-negative breast carcinoma,4992,35477,3172.3543669871797,epithelial cell; fibroblast; malignant cell; myeloid cell; unknown,True,False
