cycle,base_count,mean_phred,q30_percent
1,500,37.834000,99.400000
2,500,37.950000,100.000000
3,500,37.832000,99.800000
4,500,37.906000,99.600000
5,500,37.776000,99.600000
6,500,37.898000,100.000000
7,500,37.962000,100.000000
8,500,37.856000,99.800000
9,500,37.928000,100.000000
10,500,37.970000,100.000000
11,500,37.946000,100.000000
12,500,37.922000,99.800000
13,500,37.916000,100.000000
14,500,37.706000,99.600000
15,500,37.752000,100.000000
16,500,37.650000,99.600000
17,500,37.856000,99.800000
18,500,37.922000,100.000000
19,500,37.892000,99.800000
20,500,37.562000,99.200000
21,500,37.306000,98.800000
22,500,37.802000,99.800000
23,500,37.768000,99.200000
24,500,37.890000,99.800000
25,500,37.920000,100.000000
26,500,37.574000,98.800000
27,500,37.766000,99.800000
28,500,37.882000,99.800000
29,500,37.826000,99.800000
30,500,36.840000,96.800000
31,500,37.482000,99.000000
32,500,37.818000,99.600000
33,500,37.768000,99.600000
34,500,37.922000,100.000000
35,500,37.856000,99.600000
36,500,37.766000,99.600000
37,500,37.736000,99.000000
38,500,37.742000,100.000000
39,500,37.750000,99.200000
40,500,37.944000,100.000000
41,500,37.876000,99.800000
42,500,37.904000,100.000000
43,500,37.852000,99.600000
44,500,37.938000,99.800000
45,500,37.750000,99.600000
46,500,37.720000,99.400000
47,500,37.748000,99.000000
48,500,37.880000,99.800000
49,500,37.930000,99.800000
50,500,37.768000,99.600000
51,500,37.918000,100.000000
52,500,37.868000,99.800000
53,500,37.918000,99.800000
54,500,37.898000,99.800000
55,500,37.704000,99.000000
56,500,37.846000,100.000000
57,500,37.810000,99.600000
58,500,37.886000,99.800000
59,500,37.920000,100.000000
60,500,37.884000,100.000000
61,500,37.936000,100.000000
62,500,37.804000,99.200000
63,500,37.798000,99.400000
64,500,37.944000,100.000000
65,500,37.888000,99.800000
66,500,37.794000,99.600000
67,500,37.324000,98.800000
68,500,37.858000,100.000000
69,500,37.708000,99.400000
70,500,37.908000,99.800000
71,500,37.938000,99.800000
72,500,37.896000,99.600000
73,500,37.806000,99.400000
74,500,37.902000,100.000000
75,500,37.844000,99.600000
76,500,37.874000,100.000000
77,500,37.830000,99.600000
78,500,37.698000,99.000000
79,500,37.730000,99.600000
80,500,37.826000,99.800000
81,500,37.910000,99.800000
82,500,37.316000,98.400000
83,500,37.568000,99.200000
84,500,37.682000,99.200000
85,500,37.590000,99.400000
86,500,37.714000,99.600000
87,500,37.842000,99.600000
88,500,37.882000,100.000000
89,500,37.814000,99.600000
90,500,37.826000,99.600000
91,500,37.694000,99.400000
92,500,37.770000,99.600000
93,500,37.760000,99.400000
94,500,37.650000,100.000000
95,500,37.400000,99.000000
96,500,37.518000,99.000000
97,500,37.546000,98.600000
98,500,37.738000,99.200000
99,500,37.524000,99.200000
100,500,37.710000,99.200000
101,500,37.764000,99.800000
102,500,37.818000,99.600000
103,500,37.924000,100.000000
104,500,37.792000,99.400000
