gene,dex_fpkm,untreated_fpkm,log2_dex_over_untreated,source_log2_sample2_over_sample1,p_value,q_value
SPARCL1,27.8845,1.07021,4.7034976,-4.70349,0,0
KLF15,20.4583,0.858054,4.575474,-4.57548,0,0
FKBP5,53.0545,3.42672,3.9525749,-3.95257,0,0
SAMHD1,245.782,17.265,3.831457,-3.83146,0,0
GPX3,613.374,45.1819,3.7629502,-3.76295,0,0
C7,38.4132,3.75806,3.3535421,-3.35354,0,0
SERPINA3,139.885,13.7785,3.3437505,-3.34375,0,0
MAOA,43.2429,4.41492,3.2920041,-3.292,0,0
DUSP1,144.962,18.2623,2.9887344,-2.98874,0,0
CCDC69,47.3944,6.24334,2.9243267,-2.92433,0,0
C13orf15,96.3483,9.99924,3.2683689,-3.26837,2.22045e-16,2.50041e-13
TSC22D3,93.2645,9.6913,3.2665659,-3.26657,2.22045e-16,2.50041e-13
CRISPLD2,51.1687,7.89376,2.696477,-2.69648,6.66134e-16,6.9242e-13
PER1,13.6869,1.48904,3.2003413,-3.20034,3.77476e-15,3.64345e-12
KCTD12,5.43205,31.2481,-2.5241998,2.5242,1.24345e-14,1.12018e-11
ERRFI1,72.6952,13.4775,2.4313072,-2.4313,1.27898e-13,1.08018e-10
STEAP4,6.34834,0.199961,4.9885888,-4.98859,6.66578e-13,5.29851e-10
MT2A,561.551,119.33,2.2344603,-2.23445,3.40528e-12,2.55642e-09
SOX4,4.00456,21.2609,-2.408487,2.40849,7.1898e-12,5.11346e-09
METTL7A,83.262,17.3296,2.2644199,-2.26442,1.02718e-11,6.94013e-09
IRS2,24.9881,5.54969,2.1707621,-2.17076,2.57872e-11,1.65934e-08
RASL11A,53.6537,9.84698,2.4459244,-2.44592,3.66058e-11,2.24843e-08
INHBB,11.177,0.966801,3.5311702,-3.53117,6.27909e-11,3.58297e-08
FGD4,9.57291,2.04628,2.225954,-2.22596,6.3636e-11,3.58297e-08
NNMT,357.278,77.9375,2.1966575,-2.19666,9.44911e-11,5.10743e-08
