read_id,length,gc_percent,mean_phred,q20_percent,q30_percent
DRR037765.1,471,28.874735,37.651805,99.150743,97.876858
DRR037765.2,471,28.874735,37.849257,99.787686,98.726115
DRR037765.3,471,28.874735,37.987261,100.000000,99.363057
DRR037765.4,471,28.874735,37.942675,99.575372,98.938429
DRR037765.5,471,28.874735,37.736730,100.000000,98.938429
DRR037765.6,471,28.874735,37.498938,99.575372,97.239915
DRR037765.7,471,28.662420,37.936306,100.000000,99.150743
DRR037765.8,471,28.874735,37.084926,98.513800,95.541401
DRR037765.9,471,28.874735,36.915074,98.938429,96.390658
DRR037765.10,471,28.874735,37.836518,100.000000,98.513800
DRR037765.11,471,28.874735,36.628450,98.301486,94.267516
DRR037765.12,471,28.874735,37.554140,99.787686,98.301486
DRR037765.13,471,28.874735,37.447983,99.575372,98.513800
DRR037765.14,471,28.874735,37.766454,99.575372,98.301486
DRR037765.15,471,28.874735,36.248408,98.089172,93.205945
DRR037765.16,471,28.662420,37.225053,99.363057,97.027601
DRR037765.17,471,29.299363,35.974522,96.815287,90.445860
DRR037765.18,471,28.874735,37.004246,99.150743,95.116773
DRR037765.19,471,28.662420,37.407643,99.787686,96.815287
DRR037765.20,471,28.662420,37.070064,99.575372,95.541401
DRR037765.21,471,28.450106,36.624204,98.301486,94.055202
DRR037765.22,471,28.874735,37.781316,100.000000,99.150743
DRR037765.23,471,29.087049,37.433121,100.000000,97.664544
DRR037765.24,471,28.874735,36.588110,98.726115,93.842887
